42410,VEGT,2610.0,9158.0,54,GAUHATI (IN-AFB)
42492,VEPT,2560.0,8510.0,60,PATNA
42971,VEBS,2025.0,8583.0,46,BHUBANESWAR
43049,43049,1927.0,8488.0,17,\N
43150,43150,1770.0,8330.0,45,VISHAKHAPATNAM/WALT
43185,43185,1620.0,8115.0,3,MACHILIPATNAM
43333,VEPB,1167.0,9272.0,79,PORT BLAIR
43466,43466,690.0,7987.0,7,\N
43599,43599,-68.0,7315.0,2,\N
44212,44212,4997.0,9208.0,939,ULAN-GOM
44231,44231,4963.0,10017.0,1283,\N
44292,44292,4793.0,10698.0,1306,ULAN-BATOR
44373,44373,4358.0,10442.0,1465,\N
45004,45004,2232.0,11417.0,66,KING'S PARK
47102,47102,3797.0,12463.0,162,CHONGONG-NI
47104,47104,3781.0,12885.0,88,\N
47122,RKSO,3710.0,12703.0,52,OSAN (US/KOR-AFB)
47138,47138,3603.0,12938.0,6,POHANG
47158,RKJJ,3512.0,12682.0,13,KWANGJU (KOR-AFB)
47169,47169,3469.0,12545.0,85,\N
47186,RBSN,3333.0,12668.0,234,\N
47401,47401,4542.0,14168.0,11,WAKKANAI
47412,47412,4305.0,14133.0,26,SAPPORO
47418,RJCS,4295.0,14444.0,16,\N
47582,47582,3972.0,14010.0,7,AKITA
47600,47600,3738.0,13690.0,14,WAJIMA
47646,47646,3605.0,14013.0,31,TATENO
47678,47678,3312.0,13978.0,153,HACHIJOJIMA/OMURE
47741,47741,3545.0,13301.0,20,\N
47778,47778,3345.0,13577.0,75,SHIONOMISAKI
47807,47807,3358.0,13038.0,15,FUKUOKA
47827,47827,3163.0,13060.0,31,KAGOSHIMA/YOSHINO
47909,47909,2839.0,12955.0,295,NAZE/FUNCHATOGE
47918,ROIG,2433.0,12417.0,7,ISHIGAKIJIMA ISLAND
47945,ROMD,2583.0,13123.0,20,MINAMIDAITOJIMA ISLAND
47971,RJAO,2708.0,14218.0,8,CHICHIJIMA ISLAND
47991,RJAM,2430.0,15397.0,9,MINAMITORISHIMA
48097,48097,1677.0,9617.0,15,\N
48453,48453,1367.0,10062.0,6,\N
48601,WMKP,530.0,10027.0,4,PENANG/BAYAN LEPAS
48615,WMKC,617.0,10228.0,5,KOTA BHARU/SULTAN P
48650,48650,273.0,10170.0,16,\N
48657,WMKD,378.0,10322.0,16,\N
48698,WSSS,134.0,10389.0,21,\N
