    254     12     19      MAY    2020
      1  92803  72202  25.75N 80.38W     4   1103
      5   6750   3423     88   -112  99999  99999
      6   6558   3657  99999  99999    335     34
      6   6081   4267  99999  99999    315     26
      5   5750   4720    -11   -201  99999  99999
      6   5638   4876  99999  99999    330     28
      5   5460   5130    -31   -241  99999  99999
      6   5425   5181  99999  99999    305     26
      5   5300   5363    -55   -255  99999  99999
      5   5180   5542    -59   -339  99999  99999
      6   5024   5791  99999  99999    305     27
      4   5000   5830    -81   -341    305     27
      6   4829   6096  99999  99999    320     26
      5   4550   6552   -141   -371  99999  99999
      5   4290   6995   -161   -481  99999  99999
      6   4281   7010  99999  99999    325     35
      4   4000   7520   -201   -531    315     30
      6   3944   7620  99999  99999    310     30
      6   3623   8229  99999  99999    300     31
      6   3327   8839  99999  99999    315     29
      6   3188   9144  99999  99999    315     29
      5   3080   9390   -361   -571  99999  99999
      4   3000   9580   -375   -585    310     28
      5   2540  10704   -465   -655  99999  99999
      4   2500  10810   -475   -665    305     26
      6   2438  10972  99999  99999    305     25
      5   2180  11696   -557   -667  99999  99999
      5   2070  12023   -581   -701  99999  99999
      6   2015  12192  99999  99999    320     35
      4   2000  12240   -599   -699    320     35
      7   1940  12429   -617   -707    315     36
      6   1919  12496  99999  99999    300     40
      5   1870  12657   -615   -705  99999  99999
      5   1800  12892   -625   -725  99999  99999
      5   1780  12961   -615   -725  99999  99999
      6   1739  13106  99999  99999    295     38
      5   1690  13281   -621   -741  99999  99999
      6   1575  13716  99999  99999    320     47
      5   1530  13897   -601   -791  99999  99999
      4   1500  14020   -605   -815    310     33
      5   1490  14062   -607   -817  99999  99999
      6   1428  14326  99999  99999    300     18
      5   1420  14362   -579   -819  99999  99999
      6   1360  14630  99999  99999    245     17
      6   1295  14935  99999  99999    235     18
      5   1250  15154   -631   -861  99999  99999
      6   1233  15240  99999  99999    270     29
      5   1220  15303   -621   -861  99999  99999
      5   1150  15666   -639   -869  99999  99999
      5   1110  15883   -625   -865  99999  99999
      5   1080  16051   -641   -871  99999  99999
      6   1062  16154  99999  99999    265     39
      4   1000  16530   -653   -883    290     29
      5    913  17084   -639   -879  99999  99999
      6    871  17373  99999  99999    285     27
      6    828  17678  99999  99999    310     10
      6    787  17983  99999  99999    265      3
      5    772  18102   -667   -897  99999  99999
      6    749  18288  99999  99999    235      2
      4    700  18700   -671   -901    285      2
      5    680  18874   -673   -903  99999  99999
      5    670  18963   -661   -901  99999  99999
      5    622  19409   -691   -911  99999  99999
      6    612  19507  99999  99999    110     18
